source_text,translated_text
About,حول
Action Required,يتطلب إجراء
Add New Address,إضافة عنوان جديد
Additional Discount,خصم إضافي
Additional Discount %,نسبة الخصم الإضافي
Additional Notes,ملاحظات إضافية
Address,العنوان
Address Line 1,سطر العنوان 1
Address Line 2,سطر العنوان 2
Address Name,اسم العنوان
Address Not found,العنوان غير موجود
Address Type,نوع العنوان
Address not found,العنوان غير موجود
All Tables Are Busy,جميع الطاولات مشغولة
Amount,المبلغ
Apartment No,رقم الشقة
Are you sure your data is correct?,هل أنت متأكد من صحة بياناتك؟
Available Credit,الرصيد المتاح
Available QTY,الكمية المتاحة
Back,رجوع
Batch No,رقم الدفعة
Batch No Expiry Date,تاريخ انتهاء صلاحية الدفعة
Birthday,تاريخ الميلاد
Blacklist,القائمة السوداء
Branch,الفرع
Branch not found,الفرع غير موجود
Cancel,إلغاء
Cancel Current Invoice ?,إلغاء الفاتورة الحالية؟
Cancel Payment,إلغاء الدفع
Cannot redeem customer credit more than invoice total,لا يمكن استرداد رصيد العميل أكثر من إجمالي الفاتورة
Cash,نقداً
Cash Denominations (EGP),فئات النقد (جنيه مصري)
Cash Mode of Payment,طريقة دفع نقدي
Cash Talabat,نقد طلبات
Cash on delivery,الدفع عند الاستلام
Change,فكة
Charge Rate,معدل الرسوم
Charges not found,الرسوم غير موجودة
City,المدينة
Close,إغلاق
Close Shift,إغلاق الوردية
Closing Amount,مبلغ الإغلاق
Complaints,الشكاوى
Complaint Details,تفاصيل الشكوى
Confirm Closing,تأكيد الإغلاق
Confirm Mobile Number,تأكيد رقم الهاتف
Create,إنشاء
Create Complaint ?,إنشاء شكوى؟
Create Customer,إنشاء عميل
Create POS Opening Shift,إنشاء وردية افتتاح نقطة البيع
Credit Card,بطاقة ائتمان
Credit Card on delivary,بطاقة ائتمان عند التسليم
Credit Change,تغيير الرصيد
Customer,العميل
Customer Address created successfully.,تم إنشاء عنوان العميل بنجاح.
Customer Details,تفاصيل العميل
Customer Complaints,شكاوى العميل
Customer Group,مجموعة العميل
Customer Name,اسم العميل
Customer creation failed.,فشل إنشاء العميل.
Customer created successfully.,تم إنشاء العميل بنجاح.
Customer group is required.,مجموعة العميل مطلوبة.
Customer name is required.,اسم العميل مطلوب.
Customer not found,العميل غير موجود
Customer updated successfully.,تم تحديث العميل بنجاح.
Date,التاريخ
Delivery Charges,رسوم التوصيل
Delivery Charges Rate,معدل رسوم التوصيل
Delivery Date,تاريخ التسليم
Details,التفاصيل
Difference,الفرق
Discount Amount,مبلغ الخصم
Driver,السائق
Driver not found,السائق غير موجود
Due Date,تاريخ الاستحقاق
EGP,جنيه
Edit,تعديل
Email,البريد الإلكتروني
Enter Authorization Password,أدخل كلمة مرور التفويض
Error in change calculations!,خطأ في حساب الفكة!
Expected Amount,المبلغ المتوقع
Failed to open shift,فشل فتح الوردية
Fav Branch,الفرع المفضل
Fav Item,المنتج المفضل
Floor,الطابق
Gender,الجنس
Grand Total,الإجمالي الكلي
Group not found,المجموعة غير موجودة
ID,الرقم التعريفي
Input too long!,الإدخال طويل جداً!
Invoice {0} is submitted,تم تقديم الفاتورة {0}
Is Cashback,استرداد نقدي
Is Credit Sale,بيع بالآجل
Keep customer records sharp while staying on the sale.,حافظ على سجلات العملاء دقيقة أثناء البيع.
Last Visit: {0},آخر زيارة: {0}
Loyalty Amount can not be more then {0},لا يمكن أن يتجاوز مبلغ نقاط الولاء {0}
Loyalty Points,نقاط الولاء
Loyalty amount cannot be more than {0},لا يمكن أن يتجاوز مبلغ نقاط الولاء {0}
Logout,تسجيل الخروج
Mark,علامة مميزة
Menu,القائمة
Mobile No,رقم الهاتف
Mobile No Must be 11 digits.,يجب أن يكون رقم الهاتف 11 رقماً.
Mobile No is required.,رقم الهاتف مطلوب.
Mobile Number,رقم الهاتف
Mode of Payment,طريقة الدفع
NLine,سطر جديد
Name,الاسم
Net Total,الإجمالي الصافي
No,لا
No details provided,لا توجد تفاصيل
Not provided,غير متوفر
OK,موافق
Opening Amount,مبلغ الافتتاح
Order Type,نوع الطلب
Other Mobile No,رقم هاتف آخر
Outside the configured shift window for this POS Profile.,خارج نافذة الوردية المحددة لملف نقطة البيع هذا.
POS Shift Closed,تم إغلاق وردية نقطة البيع
Paid Amount,المبلغ المدفوع
Paid Change,الفكة المدفوعة
Paid change can not be greater than total change!,لا يمكن أن تتجاوز الفكة المدفوعة إجمالي الفكة!
Password,كلمة المرور
Payment Request took too long to respond. Please try requesting for payment again,استغرق طلب الدفع وقتاً طويلاً. يرجى إعادة المحاولة
Payment of {0} received successfully.,تم استلام دفعة بمبلغ {0} بنجاح.
Payment request failed,فشل طلب الدفع
Payments not correct,المدفوعات غير صحيحة
Please Select Customer first,يرجى اختيار العميل أولاً
Please Select Payment Type,يرجى اختيار نوع الدفع
Please enter Third Party Reference Number,يرجى إدخال رقم مرجع الطرف الثالث
Please enter the amount paid,يرجى إدخال المبلغ المدفوع
